วันที่,ยอดขายทั้งหมด (THB),ยอดขายที่ไม่รวมส่วนลดจาก Shopee,คำสั่งซื้อทั้งหมด,ยอดขายเฉลี่ยต่อคำสั่งซื้อ,จำนวนคลิก,จำนวนผู้เยี่ยมชม,อัตราการซื้อสินค้า,คำสั่งซื้อที่ยกเลิก,ยอดขายที่ยกเลิก,คำสั่งซื้อที่คืนเงิน/คืนสินค้า,ยอดขายที่คืนเงิน/คืนสินค้า,# ของผู้ซื้อ,# ของผู้ซื้อใหม่,# ของผู้ซื้อเดิม,# ผู้ที่อาจจะซื้อ,อัตราการกลับมาซื้อซ้ำ
01-04-2026-15-04-2026,"171,301","134,735",62,"2,762.92",7883,4166,0.79%,16,"54,712",0,0,54,54,0,374,11.11%
,,,,,,,,,,,,,,,,
วันที่,ยอดขายทั้งหมด (THB),ยอดขายที่ไม่รวมส่วนลดจาก Shopee,คำสั่งซื้อทั้งหมด,ยอดขายเฉลี่ยต่อคำสั่งซื้อ,จำนวนคลิก,จำนวนผู้เยี่ยมชม,อัตราการซื้อสินค้า,คำสั่งซื้อที่ยกเลิก,ยอดขายที่ยกเลิก,คำสั่งซื้อที่คืนเงิน/คืนสินค้า,ยอดขายที่คืนเงิน/คืนสินค้า,# ของผู้ซื้อ,# ของผู้ซื้อใหม่,# ของผู้ซื้อเดิม,# ผู้ที่อาจจะซื้อ,อัตราการกลับมาซื้อซ้ำ
01-04-2026,"4,580","3,277",3,"1,526.67",298,223,1.01%,0,0,0,0,3,3,0,16,0.00%
02-04-2026,"2,500","1,950",1,"2,500.00",375,254,0.27%,0,0,0,0,1,1,0,28,0.00%
03-04-2026,"5,685","4,206",2,"2,842.50",430,306,0.47%,0,0,0,0,2,2,0,30,0.00%
04-04-2026,"23,670","17,692",10,"2,367.00",751,411,1.33%,0,0,0,0,10,9,1,30,0.00%
05-04-2026,"21,070","17,212",7,"3,010.00",659,373,1.06%,1,"8,000",0,0,7,7,0,26,0.00%
06-04-2026,"2,280","1,863",2,"1,140.00",594,417,0.34%,0,0,0,0,2,2,0,30,0.00%
07-04-2026,"22,735","16,916",7,"3,247.86",710,449,0.99%,3,"8,860",0,0,6,6,0,32,16.67%
08-04-2026,"6,285","4,881",3,"2,095.00",234,180,1.28%,1,"2,150",0,0,3,3,0,11,0.00%
09-04-2026,"9,990","8,491",2,"4,995.00",558,379,0.36%,1,"3,000",0,0,2,2,0,30,0.00%
10-04-2026,"17,554","14,231",5,"3,510.80",561,348,0.89%,1,"2,700",0,0,5,4,1,26,0.00%
11-04-2026,"4,152","3,381",3,"1,384.00",465,337,0.65%,1,772,0,0,3,3,0,29,0.00%
12-04-2026,"14,390","12,271",5,"2,878.00",654,414,0.76%,1,"5,200",0,0,5,5,0,44,0.00%
13-04-2026,"11,100","8,822",3,"3,700.00",484,329,0.62%,3,"11,100",0,0,1,1,0,37,100.00%
14-04-2026,"2,600","1,863",1,"2,600.00",489,318,0.20%,1,"2,600",0,0,1,1,0,27,0.00%
15-04-2026,"22,710","17,679",8,"2,838.75",621,372,1.29%,3,"10,330",0,0,6,5,1,29,33.33%
